sentiment,review_body,product_category
0,I love this blouse but my normal size didn't even come close to fitting me. i think i would have had to go 2 sizes up. too bad cause it is a beautiful top. not good for us busty girls though.,Blouses
0,For fuller busted folks  this top may not work as it's unstructured and results in a tent from the boobs down. it's a shame--i found the gold embellishment beautiful.,Blouses
0,I wanted to love this top. i really did. the color is beautiful  the embroidery is well done  the fabric is soft  and it feels like it would be very comfortable in the summer heat. but the armholes are big and so the holes show my bra which is not good. i guess i could wear a bandeau or tank underneath  but the armholes just kind of ruined my love for this top. i think i will try again and order next size down.,Blouses
0,"I got my usual xs (i'm a 32b) and the top fit fine from the chest up. my head just fits through the hole on top without having to unbutton. but then from the chest down  the shirt billows out too far. it hits me at the hip like the model (i'm 5'6"" and wear 2/26) but because of the extra fabric it really needs to be longer to balance out the trapeze look. since the top portion fits nicely i almost want to keep it then have a seamstress take it in a little at the waist so it's more a-line than tra",Blouses
0,First comment about this piece is that it runs unbelievably small  which is not in line with most retailer pieces. i had to size up two sizes to get the size to close  on top of being busty. the material is thin and mildly see thru  but i think the shape it cute and it had a unique look to it with the tiny gold buttons and non-collar top. i decided to keep it.,Blouses
0,I wanted to love this top. i wanted to love it so badly i bought it twice. the design and beading are beautiful  but the sizing is off. as another person mentioned it does run short  but that was not the issue for me. i ordered my usual size in this brand and the arm holes were too tight. because i really love it  i decided to exchange it for a larger size. i did not try it on in the store because i never wear that size  and just assumed the arm holes would be larger. sadly they were not. still,Blouses
0,I wish this fit more to the body  it really does flare out a lot a adding volume to the person wearing it. the mustard color is beautiful  so is the pink (i ordered both to compare). but the 00 was still big on me (and p). so i passed.  fabric is light for summer  so if you are thin  not muscular  perhaps that would look great?,Blouses
1,Just purchased this yesterday in the store and i can't wait to wear it! it is a perfect spring/summer top when you just want to wear something pretty and comfortable! i agree that it is big but that is the style of this shirt. so if you're ok with this look  you will love this shirt! i took my usual medium and the prints are adorable! a great addition to my wardrobe!,Blouses
1,This top is a keeper. subtle plaid  flowy fit. so cute with skinny jeans and booties. i would definitely recommend!,Blouses
1,"This top is so cute  but it is massively babydoll shaped (a- line) which is not apparent from the pictures. i measured the xs i have and the chest is about 42"" and sweep is over 70"". i would definitely keep this top if it hung straighter. the craftsmanship is lovely and fabric is so natural and handwoven looking. i'm thinking about asking my tailor if she can take the sides in  but that might ruin it as the fabric layout is cut and proportioned to this swing style.",Blouses
1,Beautiful crepey fabric  lovely color. i was surprised to see gold threading in the peach option; i'm not a big gold thread fan  but it's do-able. the ruching across the back makes the fit very loose and blousy. this is not a figure-defining piece. but it's comfortable (will probably be more so after a wash to get that stiffy factory fabric finish feeling out)  and versatile.,Blouses
1,Love this top! runs true to size. exactly as pictured.,Blouses
1,Got this shirt in the green color. it's long and flowy and fits true to size. super comfy.,Blouses
1,This top is gorgeous! this is why i love retailer the quality is amazing. i just love how unique this top is. it's a light jean blue and white pin striped shirt with these beautiful red crochet sleeves. i'm a 34ddd i ordered the large and it's perfect. it is a bit shorter probably because of my chest but i was going to wear it with high waisted shorts anyways.  it's a must buy!,Blouses
1,The color is a very dark mustard yellow  thin/light-weight material  and it has a pretty feminine drape. 0verall a nice twist on a classic plaid shirt. cute cuffs (complementary design). the top was baggier than the bottom though- i deducted a star for the tight fight on the hips. all photos show it unbuttoned or tucked in. i'm usually between a s/m  i recommend the size up for hip fit.,Blouses
1,Love this top. the material is light  soft and comfortable. one thing to note. it runs very large? this feature is perfect for me as i was worried it would be too tight around the middle?this style would not look good if it didn't fit loose?..so i was pleasantly surprised to see that it fit me with plenty of room?.something i need for my full figure. if you are trim around the middle i recommend going down a size or two.,Blouses
-1,This dress is huge. i am normally a l-xl regular in retailer brands. i love a loose  flowy dress. after trying one on in the store (just a random returned petite xl) i ordered the petite medium. and it was still huge and not flattering. so sad. i wanted to love this- loved the material and colors  but way off.,Dresses
-1,I loved this dress and it fit perfectly. i did not have any issue with the camisole being tight  and i am really curvy. i did however have a problem trying to take it off. it has no zipper and in order for me to get it over my head i had to stretch my shoulders to the point where i ripped the back. i went to the store and tried on the larger size and ripped that one too. i tried to take it off more delicately but i couldn't. maybe it was me  but this dress is too much hassle. if i went any highe,Dresses
-1,Dress is pretty  i was disappointed by the slip which is too small like previous customer. i am an inch taller than the model and i feel more comfortable it being a tunic with leggings. nice but not nice enough to keep  i am returning. :(,Dresses
-1,This was so unflattering. the bust was too high so it hit me weird on the boobs. the green was a beautiful  vibrant color but the fabric is so delicate that one wrong move would cause a snag.,Dresses
-1,I ordered this dress online. the colors are pretty (if you like pastels) and the fit is true to size  however  it fits very much like a maternity dress. for those of you rocking a baby bump  this is a good choice. for others who are not  it's just not flattering. my figure got lost in the dress and the high waist did not look good on me. i returned it.,Dresses
-1,"I so loved this dress online. not so much in person. first of all it didn't fit my build. i'm 5'4"" with a 32f bust and the waist line was just a bit too high to be flattering. mainly i'm returning it because of the fabric. the petticoat netting does rustle as another buyer pointed out. my main fault is that the top fabric is synthetic and cheaply printed. basically it's the lining fabric of a better made dress or coat. if it were cotton voile or silk it would have been beautiful. why they made i",Dresses
-1,This dress looked adorable online  but unfortunately  it's not flattering at all  and it's completely see-through. completely. the material is so thin that i can't imagine it would hold up very well over time. this one is definitely going back.,Dresses
-1,I ordered an xxs petite and this hangs like a bag on me. i'm usually fine with the petite sizing  but this didn't work and i'm so bummed. the dress is soft  the blue color is gorgeous  but it fits like a bag. i wanted to love this  but sadly will have to return. i think someone with curves will love this dress. it is really beautiful quality  just does not fit a petite frame.,Dresses
-1,"As soon as i saw this dress i ordered it...i didn't want to miss out on it. i loved the look...the colors were so fun and bright...i thought it was going to be my perfect dress for an upcoming trip to hawaii. i am 5'4"" about 118#. i ordered a pxs. when it arrived i loved the feel of the fabric and the colors but was wondering what it would look like on as it was a lot of fabric. i know it is to be flowing but on me it was just awful. part is that the ties on the shoulder are sewn in place so i c",Dresses
0,Looks beautiful online but has too much material and the zipper catches on the lace. also runs very large  i am normally a small but would need and xs in this dress,Dresses
0,I tried this in my normal sp. i found it to run a little snug  but the neckline was way too low for every-day wear.,Dresses
0,I bought this on sale thinking it was a great deal  but when it came in i found it to fit like a totally unflattering sack. the pattern didn't help anything  looking totally faded and washed out...the fabric and overall quality is nice  but the fit and pattern are just so..ugly  unfortunately. had to return it.,Dresses
0,This dress is cute and i will wear it to work. i only decided to keep it because i got the sale price and an additional 40 percent off. the print is cute  but a little bit odd  it's a swimmer in a cap. the tie is fun.,Dresses
0,The colors look better in person and the sweater knit is thinner than i expected (which is actually a plus in my opinion) so i was very happy when i opened the package  unfortunately the fit was off for me. the lower part and the back are perfect  the dress hangs nicely  no puffing  no stiffness. however  the upper part at the front was tight and something about the armholes made my arms and upper body look beefy (i promise i usually don't have this problem). i am 32a and routinely order xs. the,Dresses
0,I am pretty standard size 8  36c  5&amp;#39;6&amp;quot;  150 lbs. i ordered the small and the bust fit well but the whole thing was like a tent and way too flowy for my taste. it was also long so everything was very covered. i didn&amp;#39;t feel it flattered my build. i returned!,Dresses
0,I just received this beautiful dress in the mail after ordering my usual size petite 12. words can't describe how beautiful the fabric and embroidery appeared as i pulled the dress from the box. i quickly tried it on. the length was perfect. but when i attempted to zip the side zipper  i realized that i would never be able to zip it up over my size 38c chest. the bodice is simply too small. sadly  i have to return the dress. this is my biggest disappointment from retailer so far. if you have a ver,Dresses
0,I love the design of this dress  but found it to be an odd fit. the bow in back didn't cover my bra  and in fact  though the overall fit seemed right  the bust was tight unless i removed the bra (which is not an option in my book). i'm not large-chested  so this seemed like a design flaw to me.,Dresses
0,The material is awesome and it's a super pretty dress it just didn't work on my body.,Dresses
1,I love this dress so much. it is more comfortable than any of my pajamas and the best part is it is very work appropriate  especially paired with chambray shirt buttoned and then tied at the waist.,Dresses
1,Love trying things outside my usual style  thought this might look like a sack but fell in love! looks effortless  easy to accessorize  dress up or down & comfortable. keeper! want to try it with platform sneaks for casual look.,Dresses
1,This dress fits like a dream and looks gorgeous on. i'm sure it will be a go to for many occasions.,Dresses
1,I needed this dress as soon as i saw it on a mannequin in the store. unfortunately  when i tried on my usual size (4 regular)  the armholes were so big that you'd be able to see my bra no matter what. i purchased a 4 petite online later that day. it fits perfectly! i received so many compliments on this dress. a few issues though: (1) this dress wrinkles like crazy. i know it's linen  but i looked like a mess after wearing it for just a few hours. definitely don't wear it to work and expect to l,Dresses
1,Super cute dress for fall. detail is much more intricate than what you are able to see online. not too long and will look perfect with tights and boots.,Dresses
1,Easy to wear  get lots of compliments when i wear it. can be dressed up or down,Dresses
1,I absolutely love this dress! the fit is great and the elastic waist helps to show off your shape. it's great for the warmer fall weather we have in the south  but i can put tights with it when it gets colder. the dress is thin  but not sheer so there's no need for a liner. i'm 5'8  weigh 144lbs and ordered this dress in a size 10. i think i might have been able to wear an 8  but the 10 fit so well that i kept it.,Dresses
1,Love this piece! i hope to see more cute  fun dresses like this from retailer. the greatest feature is it is super comfortable! it could be worn to a great number of events  dressed up or down for any occasion.,Dresses
1,Just had to review this dress because it is so beautiful. the fabric is light and soft  and is really perfect for this flowy tiered design. the colors are really pretty  not too bright  and it fit perfectly. i would say that it is much more dressy than it appeared in photos. the bodice has some beading  and it was much longer on me than on the model  though still a perfect maxi length. it would be perfect to wear to a wedding or formal affair.,Dresses
-1,"Nice fabric  great color  would be lovely ... on someone with a straight-and-narrow body type. for ladies with curves  take a pass--too much like maternity wear  and not in that elegantly slouchy kind of way. the straight-up ""is she or isn't she"" kind of way.",Fine gauge
-1,"This top looks great on the model -- a petite frame  small-busted body.  i am 5'2"" and have a large bust and curvy hips. this top hit in all the wrong places. the front looks very cropped and frumpy  if you have a large bust. the width of the top of very boxy.  the top is very soft and comfortable and the color is pretty.",Fine gauge
-1,Retailer consistently provides unique  sophisticated and quality made clothing. with the exception of an occasional purchase at their sister companies  i shop with them exclusively. i suppose that i can't expect 100% perfection from retailer-but 99% of the time-that's what i get. this is that 1%...this sweater is truly awful! i cannot (or find it very difficult at least) begin to describe what this sweater is like but it is so unlike retailer that  had it not been for the distinct pattern on the front,Fine gauge
-1,Online  this looks like a great sweater. i ordered an xxsp and found that this sweater is much wider in the middle than pictured. in fact  i'm pretty sure they pinned the shirt in the back for the picture to make it appear slimmer. unfortunately  this sweater will not work for me  as i am an hourglass shape and this shirt makes me look 20 pounds heavier.,Fine gauge
-1,As soon as you get up close to this sweater  you will notice that the bird on the front is of an interesting kind of material-almost like carpet that has been shaved waaaaaaaay down so that the little fibers are sticking straight up and a fraction of a millimeter high. i was not excited about this texture and can imagine it will be a huge magnet for collecting lint and dust throughout the day. the fit was way off on this one for me and was not flattering at all. it wasn't for me at all even thou,Fine gauge
-1,I read the existing reviews  before purchasing  and a few mentioned that this sweater ran large. this has been my experience with most tops i have purchased from retailer. i figured by ordering a medium  i would receive a slightly loose to moderately loose fitting sweater. this was not the case! the sweater is short  does not look anything like it does when you view the model from behind (and i assume the model is taller than i...as models are usually tall). for reference  i am 5'6''  medium build,Fine gauge
-1,I love finding unique retailer pieces that don't require dry cleaning. i was excited to find this shirt  but it's not flattering. the bottom hem is a little tight  which makes the rest of the shirt look bulky. perhaps it would work better on people who have narrow hips. i also didn't like the pink tones when i saw the colors in person. i'll be returning this item.,Fine gauge
-1,Huge bummer. this top is definitely a crop/midi-top. plus  it's cream  not white like shown in the photos. i'm returning it today.,Fine gauge
-1,I tried on this sweater...love the flowing top  and it looked like the seam would hit right under my bustline.  wrong.  the seam came right across my bust on a medium; sized up to a large  same thing. this shouldn't happen! not sure who this would actually flatter.  the sweater is high quality  and the colors are perfect. the fit needs work.,Fine gauge
0,"I love the pattern and style of this top. it is a flattering cut  however  it was way too short. i am 5'6"" and small usually fits me without issue. sadly enough i had to return it.",Fine gauge
0,Snags very very easily.  i hadent even gotten to take the tags off and it rubbed against another item and snagged! so disappointed as it is a beautiful top  lovely color and beautifully detailed! i'm so disappointed i was hoping to keep it but will be sending it back.,Fine gauge
0,This very lightweight cardigan looked like an eggplant color online. it's brown with a hint of burgandy. not bad  but unexpected. i am very short -waisted  and this lies very high on my torso. the seams are unfinished  and it looks cheaply made. glad i got this on sale.,Fine gauge
0,"This is a very lightweight  comfy sweater jacket. i wanted to love but didn't find it ""special"" enough for the price. i am usually between a small and medium and tried on both sizes in the gray and the navy. the small fit snug in the shoulder but i liked how the layering showed at the bottom of the front. that look was lost on the medium  though the general fit was better. in the end  the looked medium too sloppy for my taste  and the small felt too small.",Fine gauge
0,I love this sweater  so why a lower rating? while i love the material and the color  it lost all of its shape before i even left the house! i am a size 6 / small and it looked clownish on me before i ever got to my dinner party.  i plan to wash it this evening and i really hope that this brings it back to its original shape and keeps it.,Fine gauge
0,This is really cute but does run large  if your in between sizes size down. the fabric at the front is super bulky but with a smaller size could be ok? it is so itchy  imo uncomfotably so! i would have returned for a smaller size had it not been so uncomfortable  ugh why! i loved the sleeves  very cute bell. and the back hung nicely. they need to make this in a cotton  vocoder and no wool! loved bit couldnt bear it.,Fine gauge
0,Loved the look of this top. sadly it runs quite small and was very tight where other non-swing tops in a large do not. the item ran out of stock far too quickly. i normally wear a large but feared that the large would be small and wanted to order up but it was already put of stock. the quality and style are great especially for a larger chest. length is great for taller women.,Fine gauge
0,Loved this top  but had to return it. the collar is gorgeous but terrible quality,Fine gauge
0,This is the prettiest little sweater with such nice details. but it will not work well on a person like me with a full bust (38d) even in a larger size than i normally wear. it is also very  very short in the body. i would recommend it for a petite person with a small bust though.,Fine gauge
1,For a now feel  that comfy and well made  this was a great choice!,Fine gauge
1,I saw this in the store  not on sale and loved it. was so happy when it went on sale! it is beautifully made and is soft and cozy.,Fine gauge
1,Cute sweater  but don't plan on wearing this until at least fall! i love the look of this and the quality of the knit is there  but this sweater runs large and it's heavy.. i normally wear an xl in most retailer tops/sweaters but i could probably wear a m in this sweater. i for sure need the petite size because this xl regular came to my knees and fit me like a coat. i ordered this online but am going to try and exchange it for a smaller size at the store  otherwise  i'll have to return it.,Fine gauge
1,This cardigan did not disappoint. i purchased the orange  which is a beautiful deep red orange that is perfect for fall. the fit is true to size and the length of the cardigan is nice  hitting at mid hip. the ruffles hang well and are not too bulky or overwhelming on my petite frame. it looks great from the side as well. i love the knitted details  the scallops  and the subtle gathers. the only flaw is that the sleeves are way too long to be practical. they come to my fingertips  so get in the w,Fine gauge
1,I like how styling and comfortable it is  i bought it in both colors. definitely a nice piece for fall/winter in this houston weather.,Fine gauge
1,"Wasn't expecting this to look good on when i grabbed it off the sale rack. to my surprise it's very cute. the very high up slits for the 2 front panels and the lightweight knit break up the heavy appearance of this poncho when it's on. you can slip your arms out of the sleeves to keep warm when the evening gets cooler. i love it. got the gray and black stripes on off white background. will try belting the two front panels  as another reviewer suggested. i'm 5'3"" petite. so  it doesn't swallow me",Fine gauge
1,I ordered this sweater and it is beautiful.... i am returning though because it fits snug through chest  shoulders and upper arms. i am an xs - and that is what i ordered and it was tight through these areas. if you are busty it would be a definite problem.,Fine gauge
1,This blouse if very pretty and feminine. i agree with the other reviews that said it emphasizes the size of your hips. i don't have any so it was great for me!,Fine gauge
1,I hadn't seen this sweater/jacket online or in store before shopping today. i purchased the ivory. it fits without being bulky whether or not it is zipped. great fit- true to size.the asymmetric zipper is a stylish detail. the pockets are well placed also. it is a perfect spring weight jacket or  i suspect  a comfy fall to winter sweater.,Fine gauge
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
1,It's beautiful  but more sheer on bottom than it appears in photo. size up.,Intimates
1,These undergarments are comfortable  streamlined  and well made. this bra holds up well without wires. i am a 34b and wear a small. it is a bit tight at first  but form fits after one wear. . after trying one bra and i ordered 4 more. then i researched the brand and bought camis to match. i love how all the colors and styles are interchangeable.,Intimates
1,I love this bralette. i have it in other colors as well and it is always the one i go to when i want comfort.,Intimates
1,I'm not sure what cup size i am  36b or 36c  but the medium fits perfect. material is soft and stretchy. i usually wear a medium size shirt. i definitely won't be wearing it out in public  but i like it a lot for at home wear. the matching underwear may run large. i'm usually one size larger in bottoms than in tops  but the medium worked for those too.,Intimates
1,I honestly just love the hanky panky brand. i know it sometimes feels a little extravagant to purchase their lingerie  but the quality  fit and style are so good that it is absolutely worth it. this piece is no exception. i don't normally purchase lingerie like this  but saw this chemise and decided to try it. just as the other pieces from this brand  it's comfortable and gorgeous- so high quality and classy. it's a great cut  the fabric is clearly lace  but beautifully done. and the feel is lov,Intimates
1,"This is beautiful and fits perfect. it's even prettier in person  and extremely comfortable and high quality. i'm 5'3"" and it hits right above the knee. the straps are adjustable and fits true to size. i bought an xs and it fits perfect. must buy for a sweet little night gown!",Intimates
1,"I am usually a 32a. i ended up with a 34 b based on sales assoc input and what was available. the 32 gave me back fat ( i do not have back fat) so she said the 34 would be better  it ran small etc. the 34 also fit ( had to be ordered and mailed) but it still gave me ""flab"" over the back band. comparing it to my other regular bras  i can see that the band has too thin fabric and rolls and has ""harder edges"" compared to wider   thicker band on my other bras. very pretty but i will be returning. sa",Intimates
1,Runs large  but very beautiful and sexy! the straps are elastic so better to size down.,Intimates
1,I am not a fan of unlined bras  but this one was so pretty i had to try it. the lace doesn't look cheap  but overall i wouldn't have wanted to pay full price. it fits well and the support offers a nice shape (no cone!). i might go back for the other color.,Intimates
-1,I love the photo of this and because the reviews were so positive i ordered it. i was shocked when i opened the package. first  the fabric is not the silky rayon cotton blend i was expecting. it looks and feels more like a cheap cotton. it does not have the drape or feel or look i expect in a kimono  which brings me to the second disappointment. it is not a kimono at all. it has no kimono sleeve  no sleeves at all in fact. just a slit in the side of the body of the garment you put your arm throu,Jackets
-1,I'm returning this jacket. i tried it on after it was delivered  and was happy with the weight  cut  and color  although it's more dusty mauve than it looks in the picture. however  the stitching and the zipper are of such poor quality that i doubt  it will last very long. i actually can't get the zipper to zip at all. it's very rough and lightweight  and i'm afraid if i keep trying to force it i'll just end up breaking it. sorry to say yet another retailer item turns out to be poor quality.   thi,Jackets
-1,I really loved this vest online and decided to try it on in store. it was really cute on and fit nicely so i purchased it (in my normal size) and took it on a vacation. first time wearing it and the color transferred all over my white shirt even though it says it is pre-washed. i am very disappointed considering how expensive this was. overall  it is very cute but it may ruin your clothes so beware!,Jackets
-1,I wore this blazer for one day  didn't do anything strenuous  and the fabric started to disintegrate along the back  next to the center seam. it's completely unfixable  since it's not the seam that split but the fabric itself. what a waste of money.    as to the fit  it is a boxy cut through the waist. it looks better unbuttoned than buttoned. the jacket also shows a lot of the shirt you have under it  so it's good over something cute.    or  it would be  if it didn't fall apart.,Jackets
-1,This is so close to perfect  but there's a seam down the middle of the back and they didn't bother to match the polka dots. you can see the mismatch in the second photo. i was about to buy the jacket  and totally in love  when i turned and saw the error. i hoped it was one bad match  but nope  on every one. couldn't unsee  didn't buy. very disappointed.,Jackets
-1,I bought this online in the grey and blue and had high hopes. it runs big so size down at least 1-2 sizes. i didn't realize that the sweater looking part on the forearms was part of the coat. that part of the coat is really nice and comfy. unfortunately  the rest of the coat (the wool part) is very itchy. it would've been awesome if it was lined on the inside  but it's not...so i'm taking them back.,Jackets
-1,I wanted this jacket to fit on me like in the photo  but i guess my frame was still to petite. the fabric was also on the cheap end,Jackets
-1,This jacket looks like such the statement piece online with the soft focus lens  but in reality...meh. i think the pattern is gorgeous and would have worked without the studs. and the studs are unique and would have worked on a simple solid color. but put them together and you have the unwanted love child of a laura ashley bag and a marching band jacket. to me  it all felt more cloying than clever.    the quilted fabric and boxy cut of the jacket also makes it unwieldy and uncomfortable. since i,Jackets
-1,After reading the previous reviews i thought sizing down would be a great idea. as soon as i pulled it out of the bag i knew that the xs/s was still wayyy too big. for reference i am 5'3 and a 34ddd and usually wear an 8 but this thing was enormous. it was shapeless and boxy but done so horribly it looked like i was pregnant. it has an adjustable draw string at the bottom which helps to make you look like a balloon. such a disappointment. the design was lovely and it looked very high quality and,Jackets
0,It is indeed cut to the shape of a trench. however  i think retailer should rename it as it's more like wearing a cardigan. it's soft and pretty which i like. however  i wasn't convinced to buy it since i have a gazillion long black cardigans already made out of the same jersey stretch material.,Jackets
0,Very cute coat but could not keep it for the price...just not sure it is worth almost $200 00 (with tax added to cost). when it goes on sale  i will most likely buy it.,Jackets
0,I had such high hopes for this jacket based on the photo  i even waited for it to come back in stock. the detail is beautiful but it is shapeless and boxy. for reference i ordered xs  and i am usually a 0/2 on top (small chested). it might look better on someone with a larger chest but looked like a sack on me. so disappointing.,Jackets
0,I was excited to see this offered by retailer because i have been looking for a light blue summer jacket or blazer that isn't a denim jacket and this seemed to fit the bill. i've ordered several cartonnier blazers in 00p  as early as 2013 and as late as spring 2015  and have been very happy with them. on the plus side i would say that the color is depicted accurately and it does seem like a high quality jacket. but while the shoulders and sleeves were a pretty standard fit for 00p  it was much too,Jackets
0,This blazer is a nice weight for summer. it is more terracotta than rose  but is still a nice color. the fit is tts and flattering. however  the buttons were almost falling off the one i received. i didn't take this as a sign of great quality and plan to return it.,Jackets
0,"This vest looked so cute online. what you can't see however  is the vertical seaming under the arms does not have any fringe (about 3"" wide). that material in the seaming area looked like cheap polyester and it pulled slightly near the side pockets so it didn't lay nicely. also the top of the vest where it comes together also does not lay well and it falls awkwardly open - again showing the cheapy material that it's lined with. fits true to size. i usually wear a s/m in retailer and purchased the",Jackets
0,Should have ordered the xl instead of the large. didn't even come close to being able to button the front but i'm a 34 g. i find sanctuary to run small. beautiful soft green color  fabric is soft too. it is cropped to the waist. decided to return instead of reorder.,Jackets
0,"I agree with a previous reviewer who said that it was very nicely cut  but unfortunately  the materials are so cheap. the ""fleece"" material that it is made out of feels like the cheap polyester fleece blankets that you get at the discount stores. it will pill easily  and is noticeable even in the dark color. i must have gotten one shipped straight from the store  and it was already starting to do some gnarly pilling. i do love the cut of it  but i can't justify keeping it because this won't last",Jackets
0,I wanted to love this jacket. so soft and great color. unfortunately it is just too light weight. it is almost like shirt fabric. nice heft to the fabric though. nice length - accept the sleeves were short on me. i am 5'10 and 135lbs. the small was the right size. i was looking for something slightly warmer to layer.,Jackets
